Unnamed: 0,index,Year,Type,Country,Area,Location,Activity,Sex of Victim,Age,Injury,Fatal (Y/N),Time,Species,Month,Day,Hour,Day - 6
296.0,296.0,2017,Unprovoked,UNITED ARAB EMIRATES,"Sharjah,",Khor Fakkan,Spearfishing,U,41,Right leg severely bitten,N,09h00,Unknown,5,12.0,9.0,
298.0,298.0,2017,Unprovoked,MEXICO,Baja California Sur,"Los Arbolitos, Cabo Pulmo",Snorkeling,U,33,FATAL,Y,17h00,Unknown,5,5.0,17.0,
301.0,301.0,2017,Unprovoked,SOUTH AFRICA,Western Cape Province,"Keurbooms, Plettenberg Bay",Surfing,U,14,Minor injury to right calf,N,17h10,Unknown,4,29.0,17.0,
302.0,302.0,2017,Unprovoked,USA,South Carolina,"Folly Beach, Charleston County",Surfing,U,33,Left foot bitten,N,11h00,Unknown,4,29.0,11.0,
303.0,303.0,2017,Unprovoked,REUNION,Saint-Leu,Pointe au Sal,Body boarding,U,28,FATAL,Y,11h15,Unknown,4,29.0,11.0,
304.0,304.0,2017,Unprovoked,NEW ZEALAND,South Island,"Porpoise Bay, Catlins",Body boarding,U,25,Puncture wounds & laceration above knee,N,14h00,Unknown,4,27.0,14.0,
306.0,306.0,2017,Unprovoked,"ST HELENA, British overseas territory",Ascension Island,English Bay,Snorkeling,U,40,Calf & foot bitten,N,16h00,Unknown,4,22.0,16.0,
309.0,309.0,2017,Unprovoked,AUSTRALIA,Western Australia,Kelpies near Wylie Bay,Surfing,U,17,FATAL,Y,16h00,White shark,4,17.0,16.0,
310.0,310.0,2017,Unprovoked,USA,Hawaii,"Kekaha Beach, Kauai",Surfing,U,28,Lower right leg severely injured,N,09h00,"Tiger shark, 12'",4,14.0,9.0,
311.0,311.0,2017,Unprovoked,USA,Florida,"Hanna Park, Jacksonville, Duval County",Surfing,U,17,Lacerations to right foot,N,13h30,Unknown,4,13.0,13.0,
314.0,314.0,2017,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",Surfing,U,35,Calf bitten,N,16h00,Unknown,4,11.0,16.0,
315.0,315.0,2017,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Paddle boarding,U,10,Laceration to calf,N,17h45,Unknown,4,10.0,17.0,
316.0,316.0,2017,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Swimming,U,21,Minor injury to left hand,N,17h00,Unknown,4,10.0,17.0,
318.0,318.0,2017,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,U,51,"Thigh nipped, minor injury",N,13h00,Unknown,4,5.0,13.0,
319.0,319.0,2017,Unprovoked,AUSTRALIA,Queensland,Moreton Bay,Kakaying,U,39,"No injury, shark bit off stern of kayak",N,13h30,Unknown,4,2.0,13.0,
320.0,320.0,2017,Unprovoked,USA,Florida,"Destin, Okaloosa County",Swimming,U,17,Lacerations to thighs,N,15h00,"Bull shark, 5' to 7'",4,2.0,15.0,
321.0,321.0,2017,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,U,58,Minor injury to left foot,N,10h00,Unknown,3,27.0,10.0,
322.0,322.0,2017,Unprovoked,AUSTRALIA,New South Wales,The Farm,Body boarding,U,30,Minor,N,18h30,Unknown,3,19.0,18.0,
330.0,330.0,2017,Unprovoked,AUSTRALIA,Queensland,Eva Rock,Spearfishing,U,26,Left leg severely bitten,N,10h20,Unknown,2,17.0,10.0,
331.0,331.0,2017,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Swimming,U,22,Injury to hand,N,13h30,Unknown,2,11.0,13.0,
336.0,336.0,2017,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem, Recife",Swimming,U,21,Minor laceration to ring finger,N,13h20,Unknown,1,24.0,13.0,
